time,location,category,food_count,food_price,clothes_count,clothes_price,hotel_count,hotel_price,transpotation_count,transpotation_price,entertainment_count,entertainment_price,mall_count,mall_price,other_count,other_price
103-01,TW,EC,71916,179445825,120505,247926373,50119,268199388,661797,1284033705,411961,1513853051,1103136,1777422140,2810418,8050868382
103-02,TW,EC,52078,135564750,78335,152532394,44564,218801955,595682,1207563903,402842,1433819789,974443,1489063992,2366605,6171251222
103-03,TW,EC,55562,112100108,106171,212348094,47118,255906185,732159,1611215753,444422,1670864425,1089096,1648107294,2735783,7600180806
103-04,TW,EC,61668,122994705,139359,281341839,52160,280443503,691452,1473124030,431826,1719605470,1049181,1583208927,2628389,6768969168
103-05,TW,EC,68435,141703293,162141,311645738,55898,317393570,735903,1613005661,446095,1790775193,1087412,1650590836,2803401,7099531539
103-06,TW,EC,66534,137649423,156457,298433510,59937,313497539,672898,1514287012,480035,1956934900,1032226,1597716820,2718217,7166682847
103-07,TW,EC,80733,170315295,155610,300520550,61404,309015617,724326,1587975952,513016,1958944820,1114171,1703436359,2876980,7506103201
103-08,TW,EC,192753,274788439,139934,255763202,61146,307336421,757731,1531597444,554622,1925592418,1069258,1716196367,2818701,7223234402
103-09,TW,EC,174882,216105411,137047,275565956,54345,278010914,733309,1503641163,501426,1767469167,982772,1545641787,2786253,7256481659
103-10,TW,EC,206373,243330720,187859,420173331,66027,312968404,734409,1517398055,530034,1887909756,1095701,1701345960,3008369,10674509007
103-11,TW,EC,223738,249804714,195924,448161735,95904,491374289,724671,1493091720,539424,1962730203,1086636,1672948961,3022579,8787149701
103-12,TW,EC,266719,293103686,282645,640901920,121710,421312484,867747,1848755860,590625,2120510066,1252606,1918041611,3368264,9292574428
104-01,TW,EC,266639,351789768,199436,445208640,120509,378172847,880043,1898513501,558235,2069993713,1146182,1826590540,3250342,8699866730
104-02,TW,EC,214080,265242958,147245,307531368,103380,317394728,706410,1449199646,521499,1773329398,1000088,1693726820,2762013,7000755346
104-03,TW,EC,235404,274545251,175033,376632929,106457,346508552,893520,2033944371,649695,2394867592,1189857,1852403272,3410472,8802581657
104-04,TW,EC,146413,209184865,188890,406394149,89686,314999329,840374,1843143432,621917,2206364797,1101027,1678358042,3304808,7965606190
104-05,TW,EC,111523,205530103,201130,413853632,69592,318299060,855835,1965449644,624994,2340018735,1128818,1756041441,3379291,7872970065
104-06,TW,EC,102357,189294108,194396,398107330,78644,358150383,859570,1948913064,670389,2481070572,1133136,1794393678,3363890,8290353209
104-07,TW,EC,118331,206003777,178904,361865371,84939,355758838,889249,2043880040,694974,2510905018,1140462,1840922982,3445092,8412047583
104-08,TW,EC,125500,248589914,171144,332511363,80475,326591236,886086,1927866077,722192,2387203668,1202161,1955402057,3659348,9720747296
104-09,TW,EC,124697,245560310,165812,370676702,73273,297568571,947561,1982951833,714387,2345745751,1114846,1774801723,3509461,15820626487
104-10,TW,EC,133883,226479186,208578,487985215,95359,359127897,912640,2114265734,776409,2532956326,1201354,1903295229,3801322,14978683169
104-11,TW,EC,138215,233108986,226097,543863304,156004,664069415,902018,2091265194,755710,2544374611,1270433,2070148267,3911946,11808311819
104-12,TW,EC,168024,287111421,346269,820312100,123794,452617312,1144761,2532794806,819544,2732359323,1298930,2148452985,4152794,12917951176
105-01,TW,EC,218339,475973665,296658,675159501,108587,425004494,1155489,2453311634,836420,2730365185,1303589,2281860374,4283247,12833909808
105-02,TW,EC,167342,313043497,148278,334407347,99730,334965417,967403,2117188721,815099,2336782828,1041234,1938310315,3477751,10406286099
105-03,TW,EC,216370,401398060,204677,466338136,118971,428250222,1190423,2899460281,908762,2841958264,1229117,2055984968,4422502,14259608443
105-04,TW,EC,216830,376435811,249769,544250613,134916,463081358,1103255,2497838927,850504,2541471656,1110205,1841987115,4329338,13216476549
105-05,TW,EC,242972,414061772,272215,574346932,122187,441591352,1186831,2717394403,913988,2827999632,1126343,1905442075,4706573,13827532779
105-06,TW,EC,243615,403908865,279593,589977960,119736,457876619,1087915,2496452878,979228,2888477166,1091504,1925885154,4447800,13915224899
105-07,TW,EC,268844,435555171,244486,489341828,128066,487527303,1137687,2450321794,1026941,2853902002,1089264,1912540934,4514210,14703459054
105-08,TW,EC,264231,543886923,226402,443254196,143900,583986058,1179634,2561242419,980256,2658909868,1027560,1884530765,4722691,18556814857
105-09,TW,EC,249381,443790944,201631,429124585,127701,453367475,1165967,2368103422,942002,2525534923,1018658,1817329467,4594357,15662734632
105-10,TW,EC,253163,462587387,239394,539708262,149734,596317691,1226550,2862044078,997597,2526635025,1083369,1965298286,4920181,14234941758
105-11,TW,EC,218945,435001892,299829,695861746,217532,779680476,1243146,2898053746,994273,2781425666,1003435,1891162356,5384363,16671605049
105-12,TW,EC,248723,499460904,357739,848712545,155875,512408810,1515051,3182303864,1021531,2826852910,942734,1880008920,5369780,21160846196
106-01,TW,EC,251944,547774002,283515,620999454,135516,463374666,1346378,2731220610,1096597,2948651252,877350,1891600560,4993022,14448937253
106-02,TW,EC,210557,404817808,228947,476171093,126017,400317966,1339952,3053417639,1049606,2842320564,814485,1627334517,4785872,12470678529
106-03,TW,EC,261723,568188582,256761,547230425,134715,487981988,1596988,3629063491,1193208,3318874175,945884,1800979054,5609277,15896812531
106-04,TW,EC,256256,614983231,246323,544117175,157634,550684605,1397902,2933030420,1060188,2924738106,870874,1710871514,5067258,13305400687
106-05,TW,EC,285549,683570350,292095,603711613,141063,545262730,1432313,3048948778,1031819,2988485719,922911,1842579326,5563203,15718913917
106-06,TW,EC,299653,663281441,330908,675770074,148719,624277670,1363915,3008759390,1099165,3361465665,1001493,1989158665,5668259,17760048647
106-07,TW,EC,331559,666831766,318584,626687220,153031,633407788,1440843,2917898931,1139149,3304996195,991688,1978399071,5756860,15880525292
106-08,TW,EC,391838,807709347,294592,559140149,152550,563224920,1551420,3155389332,1188888,3261620486,911951,1897440493,6182774,17221378641
106-09,TW,EC,395160,817587626,276086,583398011,140848,489711376,1584952,3230541203,1180711,3311828558,759110,1559598891,6036497,17868033437
106-10,TW,EC,575527,759789147,328291,755373126,158483,734935663,1555560,3714928055,1281830,3683176343,847927,1718311672,6187011,15712004856
106-11,TW,EC,844859,897320994,394251,925458801,204625,749340727,1564832,3161283386,1181701,3249798477,1040977,2533210648,7125489,19473389046
106-12,TW,EC,1051144,1014300628,491203,1196150972,177310,617930388,1810318,3718996796,1292233,3509281463,925556,2046316868,6799404,18049795151
107-01,TW,EC,622228,1011164299,467580,1060776797,171302,664371053,1893097,3948564621,1279987,4030842534,852080,1859158538,6732121,14359711149
107-02,TW,EC,376480,735449872,307308,687853170,152813,501002288,1402316,2789686028,1214322,3209582403,854214,1992529829,5255425,14189600371
107-03,TW,EC,443978,747812402,307213,687700829,154134,565569066,1985190,4520812067,1293843,4162110787,888848,1967837005,5846040,16969226306
107-04,TW,EC,844365,901126658,335901,753746511,181413,672328122,1763566,3631071887,1335230,3812693835,1025504,2148768909,6634088,15409876458
107-05,TW,EC,1028474,1168061494,407934,893481821,169292,679470353,1947457,3940245795,1412212,4381490047,1211646,2614842485,7776900,26956681858
107-06,TW,EC,1017153,1082562508,400780,878119198,199847,654108779,1865099,3466040279,1429431,4261898246,1124754,2544356389,7600948,26072000834
107-07,TW,EC,1161372,1256031572,367092,776034716,299854,838460416,2006079,3978379056,1477986,4402785245,1220001,2554618381,7919120,25925893601
107-08,TW,EC,1332311,1555232496,422759,807619285,369373,983089988,2148834,3909217595,1679764,4568790772,1448496,3278445001,7701823,25365864892
107-09,TW,EC,1252366,1372811729,453551,917420855,462054,1195617365,2063947,3587225472,1669480,4653202326,1306794,2707967633,7273103,24511529068
107-10,TW,EC,1306302,1377663266,559490,1233463577,458048,1091816186,2177145,3889165986,1820359,5286818882,1405768,3088826406,8139573,26786492380
107-11,TW,EC,1459928,1565959418,630098,1354517579,685761,1871708196,2218950,3908472155,1900973,4969256914,1715883,4259766755,9283862,30176182043
107-12,TW,EC,1811434,1962454146,729414,1639543601,642207,1425574355,2446047,4465455150,2066417,5115592191,1623653,3563593074,8897195,34946908910
