time,location,food_<20_count,food_<20_price,clothes_<20_count,clothes_<20_price,hotel_<20_count,hotel_<20_price,transpotation_<20_count,transpotation_<20_price,entertainment_<20_count,entertainment_<20_price,mall_<20_count,mall_<20_price,other_<20_count,other_<20_price,food_20-25_count,food_20-25_price,clothes_20-25_count,clothes_20-25_price,hotel_20-25_count,hotel_20-25_price,transpotation_20-25_count,transpotation_20-25_price,entertainment_20-25_count,entertainment_20-25_price,mall_20-25_count,mall_20-25_price,other_20-25_count,other_20-25_price,food_25-30_count,food_25-30_price,clothes_25-30_count,clothes_25-30_price,hotel_25-30_count,hotel_25-30_price,transpotation_25-30_count,transpotation_25-30_price,entertainment_25-30_count,entertainment_25-30_price,mall_25-30_count,mall_25-30_price,other_25-30_count,other_25-30_price,food_30-35_count,food_30-35_price,clothes_30-35_count,clothes_30-35_price,hotel_30-35_count,hotel_30-35_price,transpotation_30-35_count,transpotation_30-35_price,entertainment_30-35_count,entertainment_30-35_price,mall_30-35_count,mall_30-35_price,other_30-35_count,other_30-35_price,food_35-40_count,food_35-40_price,clothes_35-40_count,clothes_35-40_price,hotel_35-40_count,hotel_35-40_price,transpotation_35-40_count,transpotation_35-40_price,entertainment_35-40_count,entertainment_35-40_price,mall_35-40_count,mall_35-40_price,other_35-40_count,other_35-40_price,food_40-45_count,food_40-45_price,clothes_40-45_count,clothes_40-45_price,hotel_40-45_count,hotel_40-45_price,transpotation_40-45_count,transpotation_40-45_price,entertainment_40-45_count,entertainment_40-45_price,mall_40-45_count,mall_40-45_price,other_40-45_count,other_40-45_price,food_45-50_count,food_45-50_price,clothes_45-50_count,clothes_45-50_price,hotel_45-50_count,hotel_45-50_price,transpotation_45-50_count,transpotation_45-50_price,entertainment_45-50_count,entertainment_45-50_price,mall_45-50_count,mall_45-50_price,other_45-50_count,other_45-50_price,food_50-55_count,food_50-55_price,clothes_50-55_count,clothes_50-55_price,hotel_50-55_count,hotel_50-55_price,transpotation_50-55_count,transpotation_50-55_price,entertainment_50-55_count,entertainment_50-55_price,mall_50-55_count,mall_50-55_price,other_50-55_count,other_50-55_price,food_55-60_count,food_55-60_price,clothes_55-60_count,clothes_55-60_price,hotel_55-60_count,hotel_55-60_price,transpotation_55-60_count,transpotation_55-60_price,entertainment_55-60_count,entertainment_55-60_price,mall_55-60_count,mall_55-60_price,other_55-60_count,other_55-60_price,food_60-65_count,food_60-65_price,clothes_60-65_count,clothes_60-65_price,hotel_60-65_count,hotel_60-65_price,transpotation_60-65_count,transpotation_60-65_price,entertainment_60-65_count,entertainment_60-65_price,mall_60-65_count,mall_60-65_price,other_60-65_count,other_60-65_price,food_65-70_count,food_65-70_price,clothes_65-70_count,clothes_65-70_price,hotel_65-70_count,hotel_65-70_price,transpotation_65-70_count,transpotation_65-70_price,entertainment_65-70_count,entertainment_65-70_price,mall_65-70_count,mall_65-70_price,other_65-70_count,other_65-70_price,food_70-75_count,food_70-75_price,clothes_70-75_count,clothes_70-75_price,hotel_70-75_count,hotel_70-75_price,transpotation_70-75_count,transpotation_70-75_price,entertainment_70-75_count,entertainment_70-75_price,mall_70-75_count,mall_70-75_price,other_70-75_count,other_70-75_price,food_75-80_count,food_75-80_price,clothes_75-80_count,clothes_75-80_price,hotel_75-80_count,hotel_75-80_price,transpotation_75-80_count,transpotation_75-80_price,entertainment_75-80_count,entertainment_75-80_price,mall_75-80_count,mall_75-80_price,other_75-80_count,other_75-80_price,food_>80_count,food_>80_price,clothes_>80_count,clothes_>80_price,hotel_>80_count,hotel_>80_price,transpotation_>80_count,transpotation_>80_price,entertainment_>80_count,entertainment_>80_price,mall_>80_count,mall_>80_price,other_>80_count,other_>80_price
103-01,台北市,5336,9208884,1935,4460173,850,8068545,6902,6440149,4590,25914052,3509,9059752,11021,18602005,100078,106652600,34772,81308370,14029,50315210,139894,95337139,82716,291785754,78035,155489936,269725,534824484,392992,481323980,95991,245795820,56443,230007514,537684,438431888,248603,972162904,280844,651523142,1110186,2377022340,728303,951542292,147883,402373296,107892,494886470,850533,813430382,352837,1609915191,493304,1186534134,2044869,4852740140,899387,1197875162,150200,424082974,124414,600234435,814035,901023455,351054,1831849480,548639,1377849613,2374153,6473895017,930531,1278698722,136849,421539855,121608,628198548,718662,859815987,320816,2092965113,480280,1348381906,2162976,6664601324,883010,1297463804,121599,430179853,115760,623874657,631594,785233402,268648,2081827135,396402,1244096295,1829589,6406989507,713934,1112405909,85503,345451927,98309,516393418,514821,653373959,179089,1582824063,275892,999483665,1283338,5063036943,528801,855450599,54424,251078423,73611,446809724,367989,462512236,106970,1009259006,176440,662302361,798257,3395013860,356647,586404713,30482,146873700,47904,303755349,216978,272319181,61230,614928567,108498,407061953,425987,1969625226,146154,236825043,10680,50231279,19062,109861478,71884,85068459,22113,232573048,40313,148525190,129665,643723171,68415,109217540,3876,20157985,8429,44233758,24829,31496455,9089,105081178,17738,69167759,46416,256697189,29097,46602769,1321,6937148,3546,21048984,7318,9594793,3373,41748347,8361,27938764,14727,68314898,24692,45424448,3047,13989886,3578,20991458,8097,10972130,5985,57138859,8801,27804319,26474,146332685
103-02,台北市,4442,7210577,1531,3600155,701,7053541,6067,5892781,4997,24818836,3280,7543459,10109,23220439,86984,88596102,27944,62807678,12404,38056358,119266,87274405,91249,344333007,73713,149000588,243316,472619703,337307,384595371,70525,177790742,47127,162627894,463499,396539493,260155,1046049258,249928,577099352,996661,1972460209,624129,731202596,104158,281696202,86340,345713638,749033,724893304,364392,1671419125,426779,1000595921,1857026,4107408930,762831,884044545,99372,273090423,96240,401360125,728346,798373796,361213,1762350315,460888,1106101238,2177880,5474607945,783860,912660245,87863,260595061,90877,410039867,637311,752762306,351191,2153908365,396801,1043339579,1994177,5676514249,743162,914297700,80619,272612966,86312,420048373,559715,680361302,326588,2869295934,325451,962721983,1694374,5692092761,588440,779531830,61630,236868171,72503,327511679,456309,568340732,221992,2331608672,225854,746050125,1192319,4530309740,426595,592470564,40824,181523989,54234,284245688,324146,411615211,119035,1175718218,143623,511814883,729237,2957982573,282464,411989972,23194,101472588,35201,193495386,190307,241286635,62634,584971782,86348,308204742,387270,1590794095,115186,178179512,8103,34268326,14395,75514691,63695,79465381,22211,220663835,31520,111456757,117162,496982449,52204,80856681,3068,13656175,6348,30616601,21169,26195451,8918,94176892,14013,48711594,41092,213654170,23000,38313347,978,4061039,2808,16012080,6537,8978204,3345,35107500,6223,20665986,12959,56492623,19270,35194313,2083,9631082,2701,15767622,6765,9389525,6194,61064365,6984,21753402,24180,130329666
103-03,台北市,5296,8144914,1704,3843329,700,5372793,8280,7580259,4759,20979780,3450,6309558,13025,19020079,104339,100355791,32900,70327436,12607,39896537,149033,108228368,95968,320745439,76082,133302383,287770,533396543,389584,421112388,85132,210815785,48383,182932739,546916,457032097,278393,1105250759,256015,529675587,1162264,2348796403,724493,794250428,126677,330980644,88912,382737997,871846,832808800,384353,1793981621,443972,939471119,2155250,4835795957,894137,958777602,119985,333986876,101028,458853761,847013,925079003,368248,1792076159,484076,1055040062,2519017,6441635669,917900,967352702,98048,297269956,94290,442454846,740392,890900710,317135,1678105143,403059,948285151,2277268,6602028847,866083,958851307,87627,307527586,88156,441410739,653023,799214736,257831,1546075411,326626,879030003,1922605,6282814332,687783,809730184,67071,268727892,75205,373567722,531570,664891169,180878,1351733751,225875,694086236,1360159,5090859487,504734,625071384,45467,200315049,57412,330899685,380149,481244030,117158,1058697085,148759,488225197,843198,3626336533,338686,435865690,26286,118937048,38399,236744610,226075,289873265,70155,739169899,93011,301975084,454275,2186035901,140796,183572284,9646,43793178,15907,86876395,76947,95152276,26984,317581566,35783,125600450,140542,708115427,63565,82102678,3374,16364385,6842,33180674,26063,33506035,11098,142759340,15461,55510017,49015,271399125,28044,36915763,1173,5459134,3079,18222081,8130,10507723,4107,57161045,7314,20963140,15392,95087552,22743,33325223,2353,10285205,3071,17518091,8107,11640560,6436,60168771,7913,21976444,27788,151924121
103-04,台北市,4795,7463954,1568,3746793,630,9869823,7421,7472170,4172,19807584,3085,6327675,12376,19038205,97753,90685794,30428,62540593,11114,37984771,143407,98963904,90837,302405849,76055,155772400,275641,515404455,368035,386358333,81563,193853217,43805,168362673,528347,427540111,261554,1057328110,265390,659404666,1116093,2278195066,691522,743033644,125692,323919812,81700,364927532,845226,782820758,358405,1698459450,458888,1221772942,2060773,4769977589,867481,889929256,118829,315017229,93598,438476398,821686,876836541,340728,1754363791,494419,1375377116,2422600,6477220579,897866,919526466,96012,278725575,86624,415964176,716534,828644602,291954,1648639255,414407,1220344627,2178290,6575102611,851814,918931169,82867,270820814,82762,436990212,629730,755422764,237988,1543061370,337004,1145469837,1836520,6178114594,679739,778386972,62821,241738764,70645,361014210,511962,627298347,169656,1400427762,236220,963799411,1290753,4961197526,497192,596881526,42344,191276509,53474,313731319,366833,457960918,109726,1165166727,155386,682724073,802509,3486798261,331535,411545605,24862,112849449,35578,210396874,216932,270180575,66317,800743087,95926,430488162,431218,2091026631,139743,180953064,9212,46032417,15054,80389333,74819,90863997,26297,375359330,37896,168542643,136754,703651056,62557,80006626,3444,18181843,6560,30391263,24664,31134538,10909,172507621,16364,67105725,46739,281522545,27184,34059912,1180,5546421,2966,14450141,7645,10025650,4065,61114196,7549,30426024,14473,84619309,22410,32272914,2278,10185486,3020,17305421,7668,10568106,6314,68878336,7720,30108866,27993,153904143
103-05,台北市,5490,8115294,1905,3651835,841,9346256,8305,8572952,4754,28675568,3773,9648158,13590,22969874,109326,109036959,35830,70821253,12959,41811495,154577,112105046,100013,341216763,82732,159938214,303287,593071868,406074,451993176,92153,210625955,49750,184222363,559673,466191911,282436,1107513029,279213,634914453,1239338,3175549679,757648,870965005,136195,342857375,92208,403156832,892547,838318040,380869,1801872612,477677,1122822609,2248718,7696594596,944586,1034864095,125818,333420136,105248,467997783,880125,957937618,362249,1965866395,518840,1257081558,2588383,10596605285,973620,1069516376,102939,301328326,98806,455038062,768188,907014543,309914,2000520821,437680,1161288153,2298948,11564545160,920897,1056965508,88590,296583450,92929,473227187,668247,815935205,254899,1927464758,362915,1113059634,1931583,11336721965,733608,902420521,67301,250196920,79697,396503521,542764,673472330,177370,1653774692,257097,918970922,1372906,10199131033,536215,687010223,45069,186765139,60172,343228795,385637,481226845,111441,1273342106,172368,699622620,852583,7740740378,357935,471485828,26716,118319037,40140,236266906,227366,290760639,67404,929788387,106713,403175842,462933,6084369554,150766,204537729,9715,44110838,16865,99075996,77041,92738631,26652,430285490,41753,158761100,146431,2197862884,66932,89852623,3602,16205402,7349,37573503,25828,31557566,10882,189266025,17702,63023596,50957,811484560,28906,38230278,1236,5676615,3132,15939678,7799,10194041,4120,75928470,8296,29233857,16671,398575879,23958,35676227,2554,11162480,3247,18150273,8051,12068577,6607,77531729,8294,26736863,29511,291012901
103-06,台北市,5859,9466721,2065,4588094,903,9783962,7432,8244651,5972,39946155,3967,9727592,13202,22424871,108513,104359380,38004,73104589,14067,44014684,150715,109753378,119428,356817852,77044,142260132,292942,577080372,404349,425605024,96337,209542607,50742,185641213,543595,450525883,331392,1032275995,261812,553278852,1160590,2527574521,754150,807114163,140660,330501876,93207,404834710,869520,819946396,420429,1659057687,454413,982312935,2113156,5308521347,950519,988166828,131645,327859584,107172,466424933,864803,941078709,390000,1940621028,509518,1138305190,2488286,7429156627,974189,1004144197,111110,305288781,100255,461712643,758195,904511872,338315,2258126487,433297,1066130997,2221344,7798583592,927134,998110844,97899,303111410,94978,483707458,668076,829676395,281601,2275128110,361611,1011924899,1878555,7458447555,737388,842279634,72187,260420374,81896,394984786,543942,685493059,188018,1712097813,252961,810751160,1326449,6173210476,534012,642698264,47722,188250903,61075,344605300,386275,484946207,113232,1195939650,165939,558173210,818253,4240572060,355706,433517576,27842,116033345,39885,227281871,229247,286302661,65998,808187067,103748,345408223,438884,2496005346,149924,188126060,10357,40388261,16732,90544665,78644,96038242,25481,361378111,41072,138098733,138376,859065135,65617,79625577,3994,17685322,7324,37296234,26155,31383076,10501,159522988,17106,55354633,47232,342390704,28473,36154597,1346,7003923,3203,16068742,8031,10296336,3907,63269855,7987,25575597,15344,134554306,23510,34932346,2562,10197998,3194,15546700,7742,11105889,6342,70990514,8342,25610082,28849,211403192
103-07,台北市,7003,9649030,2211,5062880,1114,9290874,7282,8282023,6097,44710312,4267,11225122,13472,23690708,120136,112327466,36629,69854514,15518,47518698,156343,115919022,90404,334066957,79407,146263144,290619,557603775,445666,448089647,97005,207909427,54788,196783499,577027,476569863,254680,984630120,272131,562260638,1136402,2279825954,837483,868135623,144480,341387599,98620,399331897,921399,866581640,373233,1574679763,472103,1005869048,2058646,4603129113,1056493,1082567173,139180,338357644,114085,495780627,926646,1000182301,388109,1941164969,527081,1151719381,2422373,6254396487,1074719,1096823875,117283,307407630,108324,474927299,810811,951341863,348540,2223429533,441500,1052748631,2168645,6300797421,1031082,1101900207,104771,320186069,105582,510096541,708405,876367411,289717,2291284666,368546,1010463594,1840755,6100665717,826910,936471801,78274,262770413,91394,442962476,569530,715353726,191720,1749046066,257424,803894031,1304839,5033542354,600624,705588811,50580,196330421,66155,342656002,403453,509665866,112794,1102623101,168636,538828399,803144,3511339709,401863,476775093,29002,114940796,43807,251407816,239704,297614447,64986,696862320,104179,333267886,429865,2146196411,171781,205645025,10393,41748540,19089,100535060,82112,98763738,25155,298121739,41873,132733461,134480,726729763,75388,94341722,3794,16519290,7981,37842127,26985,33448573,10319,139887555,17461,58217418,46142,299581456,32759,40647986,1331,5992969,3528,18009952,8289,10736210,3854,50475739,7984,25229603,14806,92962578,26069,37600242,2746,11570453,3443,16921585,8031,12037864,6301,61206599,8582,26196539,28903,171742966
103-08,台北市,7541,10708816,2139,4728006,1260,11689078,8314,9185317,9128,42707914,4539,10482733,14450,25197070,128153,131827113,35502,68468806,16349,51424305,161943,116339448,163660,396981425,79189,154956731,305441,558047952,478009,530480166,89649,192589191,57083,202167291,590806,472173941,428499,1151021759,271499,605408342,1194486,2305816224,882918,997036671,134072,314564507,102342,408556991,941739,858204237,504509,1833917420,467631,1059204724,2127805,4648858891,1106537,1235353201,130559,314367381,119503,512626680,938051,989628958,446470,2077448968,519053,1196384759,2477854,6293228784,1126197,1250173665,110175,286308727,113704,508145452,821183,938190228,398654,2592138167,437403,1099145697,2209890,6508616836,1082768,1250756296,99997,295326533,108345,513113988,722242,859516680,351632,3013172807,368735,1021419469,1895572,6445215676,872295,1067628934,76270,259365269,92427,448001442,580722,707180326,232743,2274632940,258119,780697477,1344448,5285690368,631890,804330397,49560,187453885,66465,342670050,412368,495774234,129388,1327745991,167237,561406577,822398,3597566123,419740,532444525,28276,107968112,43728,242394882,245020,296877754,71721,800025532,103184,333581484,442887,2225392294,179452,230617838,10492,40243659,18814,91962386,85690,99740083,27394,343314047,41475,133403886,141364,727345561,77942,101349610,3713,14939831,7918,36832159,27744,33472112,10908,159683554,16495,54801249,47080,303595098,33897,45025039,1225,5318477,3429,17262984,8642,10686192,4175,57067453,7688,25312111,15373,94996123,27163,42113646,2504,10591320,3362,17181077,8207,11807759,6897,77234503,8352,23801154,30238,184652487
103-09,台北市,6603,9519534,2204,4189133,1279,9569779,8836,8189010,6920,31318962,3877,8539715,15284,28773459,114049,108851749,34939,68990169,15406,48891606,154114,105758652,124781,368498333,73913,158511137,306772,621765387,416910,432262811,85253,196458556,50906,198891726,557952,442503460,330025,1167059957,247441,650259691,1205047,2529916751,777754,818358259,122622,306157077,90306,405627634,894989,808798897,425940,1909145752,431638,1178067440,2168465,5085731885,992142,1010130678,114899,304129625,104495,480152029,888220,911626842,409580,1989543340,478349,1335197451,2588139,6967795155,1015974,1027971418,91762,271708723,99272,452749638,770581,845508864,364596,2104457370,401808,1229421563,2326354,7206029405,965852,1018517582,82682,285755490,94970,461512347,686472,790418346,329906,2623748782,332056,1156043271,1983303,7262486952,774574,867686835,64673,242010645,82205,403351766,559029,665725323,226632,2297524819,233837,921476734,1418207,6249829987,560929,658303305,43653,178923689,60195,336061058,399243,477379138,130185,1515125758,152429,684462604,869646,4086519813,376469,457705461,25417,110854250,40167,235397253,238156,283328306,73668,966458614,96557,428466801,471326,2527518595,164253,200184395,9482,43458420,17547,97221174,83326,97345343,29303,424865136,39261,173335646,153799,940760712,70365,85710360,3153,15132056,7290,33902325,26969,32107597,11519,180047842,15863,71895472,50675,385216232,30631,37427583,1114,5265765,3356,17073545,8493,10217461,4337,69513885,7399,28591941,16433,118807787,24686,35175561,2235,10745146,3193,15896776,7789,11563531,6810,78418865,7737,25994520,32324,213796984
103-10,台北市,6476,8780874,2659,5368411,1095,11997441,9001,8112926,6074,25239157,4257,10826827,15318,37622877,114639,104632782,42773,90969079,15373,48181047,161921,103778663,132481,339033163,95938,222198571,314544,692245059,413516,423702922,100434,247519122,53188,194327874,569247,428817524,351911,1145798336,323974,931290008,1211989,2906039860,783398,820693269,145808,393003267,97373,418320081,922228,786931694,442458,1836279155,559851,1669339239,2156271,5589145211,1008230,1030888519,137296,380438386,112042,487214641,921655,907434436,404541,1907126950,628169,1919707493,2543668,7213203199,1026145,1034874732,104176,324365186,104320,465383453,795063,838126598,335613,1766106857,531726,1693296768,2247040,6984266078,967643,1012015168,90547,319552602,99450,489628672,703336,783342107,277897,1667304009,444896,1598387989,1908303,6479707852,772545,861721489,68252,257684726,85473,421674573,571625,654941886,197216,1525643252,324671,1332985943,1365964,5268822683,559758,661050409,45838,201549549,63796,352809789,414222,476788172,125904,1244710577,219932,977385901,844083,3618350589,380080,460263508,27194,125167765,43630,262679621,249949,288661064,76456,900725255,139612,611712446,459522,2157303604,167391,205175219,10285,50816056,18930,108148453,88691,98964998,30806,405550162,57520,266277244,151389,723443569,71683,87606935,3712,20198115,7710,37141881,28471,32571085,12155,176719749,22738,98379430,49885,292355868,31388,39450174,1228,6945317,3374,18971847,9213,10985774,4616,67686624,10386,45669691,15911,94569185,25576,36448489,2605,13386959,3373,20426653,8224,11618828,6819,71029646,10130,34884856,31495,187773517
