time,location,food_men_count,food_men_price,clothes_men_count,clothes_men_price,hotel_men_count,hotel_men_price,transpotation_men_count,transpotation_men_price,entertainment_men_count,entertainment_men_price,mall_men_count,mall_men_price,other_men_count,other_men_price,food_women_count,food_women_price,clothes_women_count,clothes_women_price,hotel_women_count,hotel_women_price,transpotation_women_count,transpotation_women_price,entertainment_women_count,entertainment_women_price,mall_women_count,mall_women_price,other_women_count,other_women_price
103-01,TW,5875578,10483338213,557999,1572779262,1238752,6072478250,8768651,10250604877,1555137,9149027771,2041064,6331408097,6604239,22768627299,7674125,11720346651,1818372,5558294295,1122737,5846257125,4521067,4904887017,2187641,11415355373,4741166,13477369043,8939208,29641817736
103-02,TW,4763571,6981712001,342637,941963857,979996,4256443983,7903887,9188110372,1654284,9890243703,1690594,5020581854,5914579,18622831384,6066859,7625464220,1190101,3421250691,877357,3986376238,4037287,4431462854,2248381,11983304020,3909772,10414549258,7979088,24929757776
103-03,TW,5365522,7421668320,361911,964043300,996800,4546798769,8855766,10357237315,1650353,8933455123,1666754,4671596654,6742726,21289969916,7148010,8329872332,1360905,3928898720,870012,4207709477,4656200,5114156369,2227681,10635926968,3945136,10555467470,9144509,29523975533
103-04,TW,5161865,6980205288,361351,939147930,972643,4790430444,8544935,9852883489,1569447,9036810429,1717776,5339284734,6476929,21441953124,6921781,8002036872,1344114,3809994600,842336,4502246668,4474941,4813245952,2099266,10906938675,4287514,13201247789,8714301,28408095627
103-05,TW,5712909,8157980444,418860,1065029771,1047070,4932741860,9009616,10493165291,1659329,10138700319,1881861,5527190723,6957682,42343608629,7530684,9284911426,1455726,4052008407,933103,4757430791,4761712,5198567956,2209236,12297229894,4433729,11978973572,9309822,42088672469
103-06,TW,5710873,7760191864,416877,1017239777,1058622,4995664516,8989891,10546156823,1692957,10167187043,1853940,5099209844,6639737,25126308456,7511827,8758926517,1452107,3896787786,958705,4832414069,4715081,5208521122,2257698,12291959548,4336259,11044282354,9016629,31557805207
103-07,TW,6258639,8416978404,427795,1024469002,1180132,5712162291,9431156,11026763664,1650512,10114153672,1841742,4972216229,6596958,21380400729,8532950,9902968838,1530815,3964554414,1088067,5565869542,4949914,5455643155,2290894,12085772551,4582656,11103085399,9043879,28904729850
103-08,TW,6593987,9512172652,437272,1037269419,1171472,5315928257,9561364,10847037732,2001247,11439975229,1849256,5136910460,6717280,21610951968,9028478,11345772385,1509603,3795791577,1098237,5265347938,5041034,5354337213,2695670,13605165431,4542685,11142583461,9145388,29127318311
103-09,TW,5855220,7854753560,363410,943859397,1019909,4714866932,9072497,10104361652,1742156,10866749798,1673419,5399647894,6941809,23616147396,7902094,9166644426,1335269,3714881832,934989,4522519114,4754736,4958126893,2395217,13327828277,4090970,12888047491,9396089,32585729572
103-10,TW,5826987,7763480593,422019,1140103210,1061938,4875045318,9373138,10054573224,1749230,9798718735,2131764,7415126817,6868903,24058657196,7851278,8892769506,1474540,4283085735,963055,4603202462,4910471,4947390795,2374581,11630890552,5681355,19128381793,9342750,30762004859
103-11,TW,5832118,8020592976,420635,1205166896,1122870,5459674754,8969469,9296879476,1727379,8789763787,2087847,6905471535,6693685,22703810752,7792615,9274680487,1435185,4438784664,1038510,5444341528,4736383,4687113829,2282851,10563757165,5464787,17620122363,9076052,28908742893
103-12,TW,6229860,8900896358,536234,1518838195,1181363,5576209406,9417345,9358248267,1795061,9133531618,2220360,6643021486,7649099,28134535652,8402534,10231077684,1856480,5710257025,1044575,5171818114,4970243,4846436554,2472479,11221920649,5358829,14651151247,10494257,39009453186
104-01,TW,6325957,9483509391,499320,1403755360,1230097,5793969828,9140540,8385846440,1853661,9899626652,1932986,5719320044,7142599,23955242744,8345953,10920398793,1638159,5035276065,1101624,5471243260,4762103,4444916266,2497939,12198795529,4397769,11999194285,9700279,31744004527
104-02,TW,6189658,10245360883,555057,1548727188,1208162,5472677700,8506154,7751824948,1875571,10922117439,2067371,6577050166,6117130,19900304682,8025829,11693705938,1654835,4826735146,1113661,5312900263,4260481,3966888312,2600656,13896266362,4636552,13282299777,8145718,25792926889
104-03,TW,5833910,8098816422,404924,1093322825,1071607,4683990962,9272438,8788506734,1842592,10392106195,1725722,4980193822,7727130,24534265338,7755447,9178454333,1471269,4208789455,950716,4369711486,4839447,4612310988,2512628,12577144158,4021526,11301488065,10454275,34723673241
104-04,TW,5975830,7903882484,427094,1092205487,1072815,5095374394,9025979,8542999842,1928973,10304910262,1846147,5648442297,7167930,25938085855,7913338,9128301470,1517067,4249378201,942179,4810202370,4685340,4439267991,2545664,12673208307,4501782,13629727722,9669966,35586175576
104-05,TW,6715770,9224165574,491884,1216614450,1101465,5201206181,9360440,9169621308,1820274,10722570358,1991719,5774826305,7623032,54943316873,8748245,10561897539,1668482,4536809721,992439,4958662063,4940756,4844709648,2470625,13334373651,4620273,12371786931,10151838,53628324109
104-06,TW,6528495,8418529267,486561,1150107437,1087150,5200004117,9569781,9424036022,1990706,11057392528,1929893,5284896055,7339410,27674838979,8592496,9684748116,1652511,4273524648,998451,5083497964,4995984,4898728736,2635279,13563920928,4475745,11406274691,9968789,36291715488
104-07,TW,6866645,8831718193,482226,1116095469,1183225,5613469402,9812910,9520747952,2080297,11161847669,1929542,5062175328,7768019,24836062150,9285036,10420320280,1688348,4216216824,1110337,5453787870,5161533,5093412075,2821777,13568426380,4689140,11207710266,10454669,33483836235
104-08,TW,7678665,10427641813,476160,1118284838,1191719,5165761596,9496629,8689729312,2138659,12142250409,2002540,5305259845,7730119,25060439212,10537560,12793720473,1559413,3830019870,1114913,5024676957,5008233,4686382776,2976996,14976510742,4634276,10980491942,10400112,34344375400
104-09,TW,6838738,9225252585,422228,1088124822,1049202,4637263772,9430132,8468074943,2035607,11046820933,1812180,5566222920,7600151,27499650028,9185955,10930321281,1478399,4048561531,952813,4430862898,4924606,4485329229,2793590,14167923875,4267771,12848459157,10361260,38501548542
104-10,TW,6810657,8944587347,510318,1347505984,1102245,5176867996,9744998,8867321573,2047986,10600904612,2261120,7705853091,7928787,27851957635,9095549,10246876459,1658606,4628362674,980922,4819337086,5051787,4724062693,2787890,13080217985,5787868,19194781339,10614202,36246661592
104-11,TW,6597230,8886202014,480352,1309308378,1158515,5879770866,9523773,8501885007,1928918,9750277660,2189772,7371896611,7968071,27026281819,8933618,10437720569,1562376,4518982811,1069352,5782061409,4981046,4589826814,2578243,11787515491,5578986,18543321869,10822728,36903681639
104-12,TW,7059206,9767728276,606644,1596588694,1185456,5811210744,9713430,8559889204,1983378,9385968995,2279284,6733190338,8349388,29459355824,9468727,11314011678,1974206,5593712767,1077271,5477608179,5151854,4788488638,2726902,11804045460,5399926,14306108017,11314382,41252076215
105-01,TW,7419333,11481563310,622666,1640590698,1271586,6380642047,9824071,8177977724,1960599,10790733417,2192342,6579074953,7908342,26557994232,9752319,13467602250,1972904,5593372662,1175143,6227430757,5123105,4605977293,2718220,13932328238,5093369,13827904678,10785711,36926326528
105-02,TW,6848217,10210460356,540494,1425903046,1189237,5546666537,8641967,7056636697,2109786,10803274062,2139369,6474171206,6868863,21846327074,8712925,11612846818,1573433,4401621807,1090412,5285592963,4331489,3889331898,2816757,13520243770,4697582,12702211958,9076906,29537169345
105-03,TW,6485283,8488671981,383865,1001214569,989540,4294934655,9348208,8233429125,1927420,9654427755,1664578,4663140866,8716183,28117713511,8587339,9853703065,1338984,3752409744,874874,3970352255,4893205,4687094183,2607098,12485230418,3878669,10686451811,11581807,40946565055
105-04,TW,6721673,8645871461,483600,1163649463,1000414,4768959469,9238951,8013453906,1890176,8915466437,1840598,5441053602,7920952,27940243433,8732326,10019492294,1646892,4258836457,895985,4472984191,4796860,4431549231,2494645,11615230123,4427810,13061257671,10574486,40349482212
105-05,TW,7244514,9514131312,512928,1194795684,982845,4729517768,9655507,8698953898,1827993,9849340613,1893601,5269867572,7969028,65043206709,9333103,10896560565,1718021,4360780525,902280,4641515026,5087611,4801081049,2478787,12877242043,4378590,11212230814,10851656,59918602831
105-06,TW,7537553,9598125715,531063,1201266640,1071063,5143727783,10098769,9457373784,2016253,11037936785,2016988,5428062697,8130006,27061659965,9811158,10981982099,1782684,4378709396,978971,5035447691,5286305,5171525744,2686832,13722168575,4685047,11637951716,11041272,37667736616
105-07,TW,8031563,10132465618,526147,1139479467,1109865,5341886377,10016424,9078574688,2156513,9856855212,1977239,5294433637,8910619,27636980532,10513295,11915585853,1729796,4066495928,1039353,5226883276,5267378,4979543017,2876678,12503857289,4734837,11577886856,11554509,38011376519
105-08,TW,7238924,10040801862,471754,1053247925,1042359,4787053602,10281466,8977765072,2127716,11429063201,1774658,4591591839,8589232,30858514510,9663181,12113498781,1588612,3758619589,992476,4778351643,5368104,4878857889,2912351,14701661510,4193216,9773568171,11383554,43585137814
105-09,TW,7027182,9377134002,403330,960230891,951291,4300857611,9034498,8051393683,1949967,9663128918,1724404,5112595056,7811640,27097315892,9060108,10920383085,1338295,3446744175,859060,4115829787,4745028,4414397762,2649989,12879182559,3970998,11918965523,10310760,36418915164
105-10,TW,7185375,9405385145,473647,1174086579,1057047,4853576383,9641873,8881873648,2074088,9088003173,2133369,6981781882,8268287,26467646945,9193059,10719753988,1483391,3949214812,941849,4634455801,5103814,4965118282,2754091,11985215898,5186548,17060687695,11009107,35475568260
105-11,TW,6721291,7786599328,473133,1274339159,1126814,5492886208,9891887,9055232631,2042219,10015408790,2070712,7070160607,9070699,29540967533,8904518,8597307327,1560676,4486579684,1016755,5334896771,5258485,5044749932,2707718,12188626864,5215354,17555560365,11892314,37888908514
105-12,TW,7296291,8881699987,622992,1623863569,1151529,5558156554,10358247,9895448598,2124068,9388190831,2200656,6566518283,9161305,32352009026,9604664,9869477072,1950341,5461487744,1055389,5278634702,5583531,5522564791,2876495,11763999474,5147301,13870884066,11835191,42758899623
106-01,TW,7018779,10577859133,632092,1642858317,1168121,5917278397,8849306,8712006280,2079947,9961312753,2188608,6743238144,7902221,26605404203,8833772,11517632277,1897819,5284601111,1100845,5913719366,4791155,4913350711,2795933,12822763565,4828971,13595911415,10450354,36612671888
