member_id,postal_cd,date_cd,department,index,prod_id,goods,price,MSRP
abc123,813,day10,3C,藍芽耳機,11111111,Apple AirPods Pro (MWP22TA/A),7359,8000
abc123,813,day11,3C,運動攝影機,11111112,GoPro HERO 8,15000,16000
abc123,815,day12,Clothes,球鞋,11111113,Nike Jordan,6800,7500
abc123,816,day13,3C,手機,11111114,iPhone 11,22900,24000
abc127,817,day14,Clothes,服飾,11111115,Edwin jeans,1600,2000
abc128,818,day15,Clothes,服飾,11111116,Levis T-short,9900,12000
abc128,818,day16,3C,電腦,11111117,ASUS VivoBook,21500,26900
abc128,820,day17,Food,寵物,11111118,Cat Tree,1690,1990
abc131,821,day18,Game,遊戲,11111119,Switch,9900,11000
abc124,813,day10,3C,藍芽耳機,11111111,Apple AirPods Pro (MWP22TA/A),7359,8000
abc125,813,day11,3C,運動攝影機,11111112,GoPro HERO 8,15000,16000
abc126,815,day12,Clothes,球鞋,11111113,Nike Jordan,6800,7500
abc127,816,day13,3C,手機,11111114,iPhone 11,22900,24000
abc128,817,day14,Clothes,服飾,11111115,Edwin jeans,1600,2000
abc129,818,day15,Clothes,服飾,11111116,Levis T-short,990,1200
abc130,818,day16,3C,電腦,11111117,ASUS VivoBook,21500,26900
abc131,820,day17,Food,寵物,11111118,Cat Tree,1690,1990
abc132,821,day18,Game,遊戲,11111119,Switch,9900,11000
abc133,813,day10,3C,藍芽耳機,11111111,Apple AirPods Pro (MWP22TA/A),7359,8000
abc134,813,day11,3C,運動攝影機,11111112,GoPro HERO 8,15000,16000
abc135,815,day12,Clothes,球鞋,11111113,Nike Jordan,6800,7500
abc136,816,day13,3C,手機,11111114,iPhone 11,22900,24000
abc127,817,day14,Clothes,服飾,11111115,Edwin jeans,1600,2000
abc128,818,day15,Clothes,服飾,11111116,Levis T-short,990,1200
abc128,818,day16,3C,電腦,11111117,ASUS VivoBook,31500,36900
abc138,820,day17,Food,寵物,11111118,Cat Tree,1690,1990
abc131,821,day18,Game,遊戲,11111119,Switch,9900,11000
abc133,813,day10,3C,藍芽耳機,11111111,Apple AirPods Pro (MWP22TA/A),7359,8000
abc133,813,day11,3C,運動攝影機,11111112,GoPro HERO 8,15000,16000
abc133,815,day12,Clothes,球鞋,11111113,Nike Jordan,6800,7500
abc143,816,day13,3C,手機,11111114,iPhone 11,22900,24000
abc147,817,day14,Clothes,服飾,11111115,Edwin jeans,1600,2000
abc148,818,day15,Clothes,服飾,11111116,Levis T-short,990,1200
abc148,818,day16,3C,電腦,11111117,ASUS VivoBook,21500,26900
abc148,820,day17,Food,寵物,11111118,Cat Tree,1690,1990
abc141,821,day18,Game,遊戲,11111119,Switch,9900,11000
abc143,813,day10,3C,藍芽耳機,11111111,Apple AirPods Pro (MWP22TA/A),7359,8000
abc143,813,day11,3C,運動攝影機,11111112,GoPro HERO 8,15000,16000
abc146,816,day13,3C,手機,11111114,iPhone 11,22900,24000
abc147,817,day14,Clothes,服飾,11111115,Edwin jeans,1600,2000
abc148,818,day15,Clothes,服飾,11111116,Levis T-short,990,1200
abc149,818,day16,3C,電腦,11111117,ASUS VivoBook,31500,36900
abc150,820,day17,Food,寵物,11111118,Cat Tree,1690,1990
abc151,821,day18,Game,遊戲,11111119,Switch,9900,11000
abc152,813,day11,3C,運動攝影機,11111112,GoPro HERO 8,15000,16000
abc153,816,day13,3C,手機,11111114,iPhone 11,22900,24000
abc154,817,day14,Clothes,服飾,11111115,Edwin jeans,1600,2000
abc155,818,day15,Clothes,服飾,11111116,Levis T-short,990,1200
abc156,818,day16,3C,電腦,11111117,ASUS VivoBook,23500,28900
abc157,820,day17,Food,寵物,11111118,Cat Tree,1690,1990
abc158,821,day18,Game,遊戲,11111119,Switch,9900,11000
abc163,813,day10,3C,藍芽耳機,11111111,Apple AirPods Pro (MWP22TA/A),8359,9000
abc163,813,day11,3C,運動攝影機,11111112,GoPro HERO 8,15000,16000
abc163,815,day12,Clothes,球鞋,11111113,Nike Jordan,6800,7500
abc163,816,day13,3C,手機,11111114,iPhone 11,22900,24000
abc167,817,day14,Clothes,服飾,11111115,Edwin jeans,1600,2000
abc168,818,day15,Clothes,服飾,11111116,Levis T-short,990,1200
abc168,818,day16,3C,電腦,11111117,ASUS VivoBook,21500,26900
abc168,820,day17,Food,寵物,11111118,Cat Tree,1690,1990
abc171,821,day18,Game,遊戲,11111119,Switch,9900,11000
abc164,813,day10,3C,藍芽耳機,11111111,Apple AirPods Pro (MWP22TA/A),7359,8000
abc165,813,day11,3C,運動攝影機,11111112,GoPro HERO 8,15000,16000
abc166,815,day12,Clothes,球鞋,11111113,Nike Jordan,6800,7500
abc167,816,day13,3C,手機,11111114,iPhone 11,22900,24000
abc168,817,day14,Clothes,服飾,11111115,Edwin jeans,1600,2000
abc169,818,day15,Clothes,服飾,11111116,Levis T-short,990,1200
abc170,818,day16,3C,電腦,11111117,ASUS VivoBook,11500,16900
abc171,820,day17,Food,寵物,11111118,Cat Tree,1690,1990
abc172,821,day18,Game,遊戲,11111119,Switch,9900,11000
abc173,813,day10,3C,藍芽耳機,11111111,Apple AirPods Pro (MWP22TA/A),7359,8000
abc174,813,day11,3C,運動攝影機,11111112,GoPro HERO 8,15000,16000
abc175,815,day12,Clothes,球鞋,11111113,Nike Jordan,6800,7500
abc176,816,day13,3C,手機,11111114,iPhone 11,22900,24000
abc167,817,day14,Clothes,服飾,11111115,Edwin jeans,1600,2000
abc168,818,day15,Clothes,服飾,11111116,Levis T-short,990,1200
abc168,818,day16,3C,電腦,11111117,ASUS VivoBook,21500,26900
abc178,820,day17,Food,寵物,11111118,Cat Tree,1690,1990
abc171,821,day18,Game,遊戲,11111119,Switch,9900,11000
abc172,813,day10,3C,藍芽耳機,11111111,Apple AirPods Pro (MWP22TA/A),7359,8000
abc173,813,day11,3C,運動攝影機,11111112,GoPro HERO 8,15000,16000
abc173,815,day12,Clothes,球鞋,11111113,Nike Jordan,6800,7500
abc183,816,day13,3C,手機,11111114,iPhone 11,22900,24000
abc187,817,day14,Clothes,服飾,11111115,Edwin jeans,1600,2000
abc188,818,day15,Clothes,服飾,11111116,Levis T-short,990,1200
abc188,820,day17,Food,寵物,11111118,Cat Tree,1690,1990
abc181,821,day18,Game,遊戲,11111119,Switch,9900,11000
abc183,813,day10,3C,藍芽耳機,11111111,Apple AirPods Pro (MWP22TA/A),7359,8000
abc183,813,day11,3C,運動攝影機,11111112,GoPro HERO 8,15000,16000
abc186,816,day13,3C,手機,11111114,iPhone 11,22900,24000
abc187,817,day14,Clothes,服飾,11111115,Edwin jeans,1600,2000
abc188,818,day15,Clothes,服飾,11111116,Levis T-short,990,1200
abc189,818,day16,3C,電腦,11111117,ASUS VivoBook,21500,26900
abc190,820,day17,Food,寵物,11111118,Cat Tree,1690,1990
abc191,821,day18,Game,遊戲,11111119,Switch,9900,11000
abc192,813,day11,3C,運動攝影機,11111112,GoPro HERO 8,15000,16000
abc193,816,day13,3C,手機,11111114,iPhone 11,22900,24000
abc194,817,day14,Clothes,服飾,11111115,Edwin jeans,1600,2000
abc195,818,day15,Clothes,服飾,11111116,Levis T-short,990,1200
abc196,818,day16,3C,電腦,11111117,ASUS VivoBook,21500,26900
abc197,820,day17,Food,寵物,11111118,Cat Tree,1690,1990
abc198,821,day18,Game,遊戲,11111119,Switch,9900,11000
